Year_w0,Month_w0,Week_w0,VILL_CODE,STRM_DIS,BOR_DIS,Slope,StreamLength,StreamDensity,Rainfall_w0,NDVI_w0,incidents_w0,LST_w0,Year_w1,Month_w1,Week_w1,Rainfall_w1,NDVI_w1,LST_w1,incidents_w1,Year_w2,Month_w2,Week_w2,Rainfall_w2,NDVI_w2,LST_w2,incidents_w2,Year_w3,Month_w3,Week_w3,Rainfall_w3,NDVI_w3,LST_w3,incidents_w3,Rainfall_wm1,incidents_wm1,Rainfall_wm2,incidents_wm2,Rainfall_wm3,incidents_wm3,Rainfall_wm4,incidents_wm4,incidents_w4
2012,1,5,63050101,554.129,537.415,3.9378495629,12804.108571454,0.254858849,0.10252746,0.5664,0.195694716243,27.41,2012,2,6,0,0.4927,30.77,0.0978473581213,2012,2,7,0,0.4927,30.77,0.0978473581213,2012,2,8,0.00216819,0.4927,30.77,0.0,0,3,0.00202621,0,0.03774133,0,0,3,0.195694716243
2012,2,6,63050101,554.129,537.415,3.9378495629,12804.108571454,0.254858849,0,0.4927,0.0978473581213,30.77,2012,2,7,0,0.4927,30.77,0.0978473581213,2012,2,8,0.00216819,0.4927,30.77,0.0,2012,2,9,0,0.4927,30.77,0.0978473581213,0.10252746,2,0,3,0.00202621,0,0.03774133,0,0.0978473581213
2012,2,7,63050101,554.129,537.415,3.9378495629,12804.108571454,0.254858849,0,0.4927,0.0978473581213,30.77,2012,2,8,0.00216819,0.4927,30.77,0.0,2012,2,9,0,0.4927,30.77,0.0978473581213,2012,3,10,2.07048601,0.4747,32.89,0.0,0,1,0.10252746,2,0,3,0.00202621,0,0.293542074364
2012,2,8,63050101,554.129,537.415,3.9378495629,12804.108571454,0.254858849,0.00216819,0.4927,0.0,30.77,2012,2,9,0,0.4927,30.77,0.0978473581213,2012,3,10,2.07048601,0.4747,32.89,0.0,2012,3,11,0.14818357,0.4747,32.89,0.0978473581213,0,1,0,1,0.10252746,2,0,3,0.195694716243
2012,2,9,63050101,554.129,537.415,3.9378495629,12804.108571454,0.254858849,0,0.4927,0.0978473581213,30.77,2012,3,10,2.07048601,0.4747,32.89,0.0,2012,3,11,0.14818357,0.4747,32.89,0.0978473581213,2012,3,12,0.00625519,0.4747,32.89,0.0,0.00216819,0,0,1,0,1,0.10252746,2,0.195694716243
2012,3,10,63050101,554.129,537.415,3.9378495629,12804.108571454,0.254858849,2.07048601,0.4747,0.0,32.89,2012,3,11,0.14818357,0.4747,32.89,0.0978473581213,2012,3,12,0.00625519,0.4747,32.89,0.0,2012,3,13,0.00647801,0.4747,32.89,0.195694716243,0,1,0.00216819,0,0,1,0,1,0.0
2012,3,11,63050101,554.129,537.415,3.9378495629,12804.108571454,0.254858849,0.14818357,0.4747,0.0978473581213,32.89,2012,3,12,0.00625519,0.4747,32.89,0.0,2012,3,13,0.00647801,0.4747,32.89,0.195694716243,2012,4,14,0.63149054,0.516,30.87,0.0,2.07048601,0,0,1,0.00216819,0,0,1,0.391389432485
2012,3,12,63050101,554.129,537.415,3.9378495629,12804.108571454,0.254858849,0.00625519,0.4747,0.0,32.89,2012,3,13,0.00647801,0.4747,32.89,0.195694716243,2012,4,14,0.63149054,0.516,30.87,0.0,2012,4,15,0.03462587,0.516,30.87,0.195694716243,0.14818357,1,2.07048601,0,0,1,0.00216819,0,0.0978473581213
2012,3,13,63050101,554.129,537.415,3.9378495629,12804.108571454,0.254858849,0.00647801,0.4747,0.195694716243,32.89,2012,4,14,0.63149054,0.516,30.87,0.0,2012,4,15,0.03462587,0.516,30.87,0.195694716243,2012,4,16,0.00042227,0.516,30.87,0.195694716243,0.00625519,0,0.14818357,1,2.07048601,0,0,1,0.0
2012,4,14,63050101,554.129,537.415,3.9378495629,12804.108571454,0.254858849,0.63149054,0.516,0.0,30.87,2012,4,15,0.03462587,0.516,30.87,0.195694716243,2012,4,16,0.00042227,0.516,30.87,0.195694716243,2012,4,17,1.13005492,0.516,30.87,0.0,0.00647801,2,0.00625519,0,0.14818357,1,2.07048601,0,0.293542074364
