Sequence,PROV_CODE,PROV_NAM_T,Tambon_District_AMPHOE_IDN,AMPHOE_T,TAMBON_IDN,TAM_NAM_T,VILL_CODE,VILL_NAM_T,VILL_NAM_E,X_COORD,Y_COORD,Pop2012,Pop2013,Pop2014,Pop2015
1,63,จ.ตาก,6305,อ.ท่าสองยาง,630501,ต.ท่าสองยาง,63050101,บ้านท่าสองยาง,Ban Tha Song Yang,384800.74962,1942817.62497,1022,1040,1004,1023
2,63,จ.ตาก,6305,อ.ท่าสองยาง,630501,ต.ท่าสองยาง,63050102,บ้านแม่ตื่น,Ban Mae Tun,383560.84382,1946872.00017,1249,1272,1290,1334
3,63,จ.ตาก,6305,อ.ท่าสองยาง,630501,ต.ท่าสองยาง,63050103,บ้านมอกูตู้,Ban Mo Ku Tu,378214.71837,1954774.12533,922,894,836,876
4,63,จ.ตาก,6305,อ.ท่าสองยาง,630501,ต.ท่าสองยาง,63050104,บ้านแม่เหว่ย,Ban Mae Woei,371012.12536,1959891.49981,484,484,484,490
5,63,จ.ตาก,6305,อ.ท่าสองยาง,630501,ต.ท่าสองยาง,63050105,บ้านขุนแม่เหว่ย,Ban Khun Mae Woei,378588.25031,1959817.74989,497,497,497,498
6,63,จ.ตาก,6305,อ.ท่าสองยาง,630501,ต.ท่าสองยาง,63050106,บ้านแม่ละนา,Ban Mae Lana,375840.59409,1963453.25028,732,732,732,809
7,63,จ.ตาก,6305,อ.ท่าสองยาง,630501,ต.ท่าสองยาง,63050107,บ้านแม่อมยะ,Ban Mae Om Ya,375262.78105,1966081.25006,491,491,491,492
8,63,จ.ตาก,6305,อ.ท่าสองยาง,630501,ต.ท่าสองยาง,63050108,บ้านแม่จะวาง,Ban Mae Chawang,390435.6248,1943142.50016,754,754,1073,1085
9,63,จ.ตาก,6305,อ.ท่าสองยาง,630501,ต.ท่าสองยาง,63050109,บ้านสวนอ้อย,Ban Suan Oi,386353.59357,1941440.24971,2007,2007,1883,1660
10,63,จ.ตาก,6305,อ.ท่าสองยาง,630502,ต.แม่ต้าน,63050201,บ้านแม่ต้าน,Ban Mae Tan,417089.00005,1905652.75001,2664,2745,2745,2043
