@relation 'mdl_data_EP3-weka.filters.unsupervised.attribute.Discretize-unset-class-temporarily-F-B4-M-1.0-R2,3,4,5,6,7,9,11,12,13,21,22,23,31,32,33,40'

@attribute Month_m0 numeric
@attribute Dist_to_Stream {'\'(-inf-288.6895]\'','\'(288.6895-589.1185]\'','\'(589.1185-1464.6]\'','\'(1464.6-inf)\''}
@attribute Dist_to_Border {'\'(-inf-3702.355]\'','\'(3702.355-7828.425]\'','\'(7828.425-12446.55]\'','\'(12446.55-inf)\''}
@attribute Slope {'\'(-inf-8.788181]\'','\'(8.788181-13.584297]\'','\'(13.584297-16.969554]\'','\'(16.969554-inf)\''}
@attribute strm_density {'\'(-inf-0.227642]\'','\'(0.227642-0.283908]\'','\'(0.283908-0.387563]\'','\'(0.387563-inf)\''}
@attribute Rainfall_m0 {'\'(-inf-9.814899]\'','\'(9.814899-56.682983]\'','\'(56.682983-143.99384]\'','\'(143.99384-inf)\''}
@attribute NDVI_m0 {'\'(-inf-0.633338]\'','\'(0.633338-0.729992]\'','\'(0.729992-0.80645]\'','\'(0.80645-inf)\''}
@attribute Malaria_m0 numeric
@attribute LST_m0 {'\'(-inf-25.275]\'','\'(25.275-27.725]\'','\'(27.725-30.92]\'','\'(30.92-inf)\''}
@attribute Month_m1 numeric
@attribute Rainfall_m1 {'\'(-inf-15.440752]\'','\'(15.440752-58.318828]\'','\'(58.318828-144.600856]\'','\'(144.600856-inf)\''}
@attribute NDVI_m1 {'\'(-inf-0.6352]\'','\'(0.6352-0.73355]\'','\'(0.73355-0.813475]\'','\'(0.813475-inf)\''}
@attribute LST_m1 {'\'(-inf-25.275]\'','\'(25.275-27.6]\'','\'(27.6-30.92]\'','\'(30.92-inf)\''}
@attribute M_Slope_Rainfall_m1 numeric
@attribute M_Dist_to_Border_m1 numeric
@attribute M_NDVI_m1 numeric
@attribute M_Dist_to_Stream_m1 numeric
@attribute M_Stream_Density_m1 numeric
@attribute Malaria_m1 numeric
@attribute Month_m2 numeric
@attribute Rainfall_m2 {'\'(-inf-21.088107]\'','\'(21.088107-58.318828]\'','\'(58.318828-144.600856]\'','\'(144.600856-inf)\''}
@attribute NDVI_m2 {'\'(-inf-0.645133]\'','\'(0.645133-0.743]\'','\'(0.743-0.81975]\'','\'(0.81975-inf)\''}
@attribute LST_m2 {'\'(-inf-25.255]\'','\'(25.255-27.36]\'','\'(27.36-30.67]\'','\'(30.67-inf)\''}
@attribute M_Slope_Rainfall_m2 numeric
@attribute M_Dist_to_Border_m2 numeric
@attribute M_NDVI_m2 numeric
@attribute M_Dist_to_Stream_m2 numeric
@attribute M_Stream_Density_m2 numeric
@attribute Malaria_m2 numeric
@attribute Month_m3 numeric
@attribute Rainfall_m3 {'\'(-inf-11.263663]\'','\'(11.263663-56.682983]\'','\'(56.682983-144.600856]\'','\'(144.600856-inf)\''}
@attribute NDVI_m3 {'\'(-inf-0.65765]\'','\'(0.65765-0.7517]\'','\'(0.7517-0.82325]\'','\'(0.82325-inf)\''}
@attribute LST_m3 {'\'(-inf-24.78]\'','\'(24.78-27]\'','\'(27-29.88]\'','\'(29.88-inf)\''}
@attribute M_Slope_Rainfall_m3 numeric
@attribute M_Dist_to_Border_m3 numeric
@attribute M_NDVI_m3 numeric
@attribute M_Dist_to_Stream_m3 numeric
@attribute M_Stream_Density_m3 numeric
@attribute Malaria_m3 numeric
@attribute Rainfall_mm1 {'\'(-inf-2.984976]\'','\'(2.984976-51.061486]\'','\'(51.061486-130.079548]\'','\'(130.079548-inf)\''}

@data
1,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(-inf-9.814899]\'','\'(-inf-0.633338]\'',24,'\'(25.275-27.725]\'',2,'\'(-inf-15.440752]\'','\'(-inf-0.6352]\'','\'(27.6-30.92]\'',15,15,15,15,15,15,3,'\'(21.088107-58.318828]\'','\'(-inf-0.645133]\'','\'(30.67-inf)\'',9,9,9,9,9,9,4,'\'(11.263663-56.682983]\'','\'(-inf-0.65765]\'','\'(29.88-inf)\'',22,22,22,22,22,22,'\'(-inf-2.984976]\''
2,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(-inf-9.814899]\'','\'(-inf-0.633338]\'',15,'\'(27.725-30.92]\'',3,'\'(15.440752-58.318828]\'','\'(-inf-0.6352]\'','\'(30.92-inf)\'',9,9,9,9,9,9,4,'\'(21.088107-58.318828]\'','\'(-inf-0.645133]\'','\'(30.67-inf)\'',22,22,22,22,22,22,5,'\'(56.682983-144.600856]\'','\'(-inf-0.65765]\'','\'(29.88-inf)\'',36,36,36,36,36,36,'\'(-inf-2.984976]\''
3,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(9.814899-56.682983]\'','\'(-inf-0.633338]\'',9,'\'(30.92-inf)\'',4,'\'(15.440752-58.318828]\'','\'(-inf-0.6352]\'','\'(27.6-30.92]\'',22,22,22,22,22,22,5,'\'(58.318828-144.600856]\'','\'(-inf-0.645133]\'','\'(27.36-30.67]\'',36,36,36,36,36,36,6,'\'(11.263663-56.682983]\'','\'(-inf-0.65765]\'','\'(27-29.88]\'',32,32,32,32,32,32,'\'(-inf-2.984976]\''
4,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(9.814899-56.682983]\'','\'(-inf-0.633338]\'',22,'\'(27.725-30.92]\'',5,'\'(58.318828-144.600856]\'','\'(-inf-0.6352]\'','\'(27.6-30.92]\'',36,36,36,36,36,36,6,'\'(21.088107-58.318828]\'','\'(0.645133-0.743]\'','\'(27.36-30.67]\'',32,32,32,32,32,32,7,'\'(56.682983-144.600856]\'','\'(0.65765-0.7517]\'','\'(27-29.88]\'',23,23,23,23,23,23,'\'(51.061486-130.079548]\''
5,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(56.682983-143.99384]\'','\'(-inf-0.633338]\'',36,'\'(27.725-30.92]\'',6,'\'(15.440752-58.318828]\'','\'(0.6352-0.73355]\'','\'(27.6-30.92]\'',32,32,32,32,32,32,7,'\'(58.318828-144.600856]\'','\'(0.645133-0.743]\'','\'(27.36-30.67]\'',23,23,23,23,23,23,8,'\'(56.682983-144.600856]\'','\'(0.65765-0.7517]\'','\'(27-29.88]\'',25,25,25,25,25,25,'\'(2.984976-51.061486]\''
6,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(9.814899-56.682983]\'','\'(0.633338-0.729992]\'',32,'\'(27.725-30.92]\'',7,'\'(58.318828-144.600856]\'','\'(0.6352-0.73355]\'','\'(27.6-30.92]\'',23,23,23,23,23,23,8,'\'(58.318828-144.600856]\'','\'(0.645133-0.743]\'','\'(27.36-30.67]\'',25,25,25,25,25,25,9,'\'(144.600856-inf)\'','\'(0.7517-0.82325]\'','\'(27-29.88]\'',12,12,12,12,12,12,'\'(51.061486-130.079548]\''
7,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(56.682983-143.99384]\'','\'(0.633338-0.729992]\'',23,'\'(27.725-30.92]\'',8,'\'(58.318828-144.600856]\'','\'(0.73355-0.813475]\'','\'(27.6-30.92]\'',25,25,25,25,25,25,9,'\'(144.600856-inf)\'','\'(0.743-0.81975]\'','\'(25.255-27.36]\'',12,12,12,12,12,12,10,'\'(11.263663-56.682983]\'','\'(0.65765-0.7517]\'','\'(27-29.88]\'',22,22,22,22,22,22,'\'(51.061486-130.079548]\''
8,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(56.682983-143.99384]\'','\'(0.729992-0.80645]\'',25,'\'(27.725-30.92]\'',9,'\'(144.600856-inf)\'','\'(0.73355-0.813475]\'','\'(25.275-27.6]\'',12,12,12,12,12,12,10,'\'(21.088107-58.318828]\'','\'(0.645133-0.743]\'','\'(27.36-30.67]\'',22,22,22,22,22,22,11,'\'(11.263663-56.682983]\'','\'(0.65765-0.7517]\'','\'(27-29.88]\'',51,51,51,51,51,51,'\'(51.061486-130.079548]\''
9,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(143.99384-inf)\'','\'(0.729992-0.80645]\'',12,'\'(25.275-27.725]\'',10,'\'(15.440752-58.318828]\'','\'(0.73355-0.813475]\'','\'(27.6-30.92]\'',22,22,22,22,22,22,11,'\'(21.088107-58.318828]\'','\'(0.645133-0.743]\'','\'(27.36-30.67]\'',51,51,51,51,51,51,12,'\'(-inf-11.263663]\'','\'(-inf-0.65765]\'','\'(27-29.88]\'',90,90,90,90,90,90,'\'(51.061486-130.079548]\''
10,'\'(288.6895-589.1185]\'','\'(-inf-3702.355]\'','\'(-inf-8.788181]\'','\'(0.227642-0.283908]\'','\'(9.814899-56.682983]\'','\'(0.729992-0.80645]\'',22,'\'(27.725-30.92]\'',11,'\'(15.440752-58.318828]\'','\'(0.6352-0.73355]\'','\'(27.6-30.92]\'',51,51,51,51,51,51,12,'\'(-inf-21.088107]\'','\'(-inf-0.645133]\'','\'(25.255-27.36]\'',90,90,90,90,90,90,1,'\'(-inf-11.263663]\'','\'(-inf-0.65765]\'','\'(24.78-27]\'',31,31,31,31,31,31,'\'(130.079548-inf)\''
