M_NDVI_w1,M_Dist_to_Border_w1,M_Dist_to_Stream_w1,M_Slope_Rainfall_w1,M_Stream_Density_w1,Malaria_w1
0.255814;0.2325581;0.32558137;0.1162791;0.06976745,0.38955823;0.1445783;0.13654621;0.1405623;0.18875498,0.15454549;0.29090908;0.32727268;0.17272729;0.05454545,0.16049382;0.22222224;0.3950617;0.16049382;0.061728403,0.23076922;0.29230773;0.32307687;0.123076916;0.030769235,0.0009784736
0.46296304;0.3148148;0.11111108;0.092592575;0.018518522,0.38955826;0.14457828;0.1365462;0.14056228;0.18875499,0.4857143;0.22142859;0.17142858;0.09999999;0.02142857,0.40909088;0.32954547;0.1590909;0.090909086;0.01136364,0.4047619;0.3333333;0.15476188;0.08333335;0.023809524,0.0009784736
0.46296304;0.31481478;0.11111108;0.092592575;0.018518522,0.38955826;0.14457828;0.1365462;0.14056228;0.18875499,0.4857143;0.22142859;0.17142858;0.09999999;0.021428568,0.40909088;0.3295455;0.1590909;0.090909086;0.01136364,0.4047619;0.33333334;0.15476187;0.08333335;0.023809524,0
0.71844655;0.1262136;0.067961164;0.053398073;0.033980582,0.38955823;0.14457828;0.13654621;0.1405623;0.18875499,0.840052;0.08842653;0.033810142;0.023407022;0.01430429,0.6497462;0.17766501;0.08121827;0.055837564;0.035533,0.8742004;0.06396589;0.04051173;0.0127931805;0.008528786,0.0009784736
0.462963;0.31481478;0.11111109;0.09259258;0.018518522,0.3895582;0.14457831;0.1365462;0.14056233;0.188755,0.4857143;0.2214286;0.17142856;0.09999998;0.021428568,0.4090909;0.3295455;0.15909089;0.09090909;0.01136364,0.4047619;0.3333333;0.1547619;0.08333335;0.023809524,0
0.7184466;0.1262136;0.06796116;0.053398073;0.03398058,0.3895582;0.1445783;0.1365462;0.14056231;0.188755,0.840052;0.088426545;0.033810142;0.02340702;0.0143042905,0.6497462;0.17766501;0.08121827;0.055837564;0.035533004,0.8742004;0.06396589;0.040511724;0.0127931805;0.008528785,0.0009784736
0.46296304;0.31481478;0.11111109;0.092592575;0.018518522,0.38955823;0.14457828;0.13654621;0.1405623;0.18875498,0.4857143;0.22142859;0.17142858;0.09999999;0.021428568,0.30769226;0.1538462;0.30769226;0.1538462;0.076923065,0.4047619;0.33333334;0.15476187;0.08333335;0.023809524,0
0.7184466;0.1262136;0.067961164;0.053398073;0.033980582,0.38955823;0.1445783;0.13654621;0.1405623;0.18875498,0.840052;0.08842653;0.033810142;0.023407022;0.014304289,0.6497461;0.17766501;0.081218265;0.055837568;0.035533,0.8742004;0.063965894;0.04051174;0.0127931805;0.008528786,0.0019569472
0.25581396;0.2325581;0.32558137;0.116279095;0.069767445,0.38955823;0.14457828;0.13654621;0.14056228;0.18875498,0.15454549;0.29090908;0.32727268;0.17272729;0.054545444,0.1604938;0.22222222;0.39506173;0.1604938;0.061728407,0.23076923;0.2923077;0.3230769;0.12307691;0.03076923,0
0.7184466;0.1262136;0.06796115;0.053398065;0.033980574,0.3895582;0.1445783;0.1365462;0.14056231;0.188755,0.840052;0.08842652;0.033810142;0.02340702;0.014304289,0.6497462;0.177665;0.08121827;0.055837564;0.035532996,0.8742004;0.06396589;0.04051173;0.0127931805;0.008528787,0.0019569472
0.25581396;0.23255807;0.3255814;0.11627911;0.06976745,0.3895582;0.1445783;0.13654618;0.1405623;0.188755,0.1545455;0.29090905;0.3272727;0.1727273;0.054545447,0.1604938;0.22222222;0.39506176;0.1604938;0.0617284,0.23076922;0.29230773;0.32307693;0.12307689;0.030769227,0.0019569472
0.25581396;0.23255807;0.32558143;0.1162791;0.06976745,0.3895582;0.1445783;0.13654621;0.14056233;0.188755,0.15454552;0.29090905;0.32727268;0.17272729;0.05454545,0.16049379;0.22222222;0.3950618;0.16049379;0.0617284,0.2307692;0.29230776;0.3230769;0.1230769;0.030769229,0
0.7184466;0.1262136;0.06796115;0.05339807;0.033980574,0.38955823;0.14457828;0.13654618;0.1405623;0.18875499,0.840052;0.08842653;0.03381014;0.023407018;0.014304288,0.6497462;0.17766498;0.08121827;0.055837568;0.035532996,0.8742004;0.06396588;0.04051173;0.012793179;0.008528786,0.0019569472
0.24;0.12;0.24;0.24;0.16000003,0.44295296;0.1174497;0.114094;0.14765102;0.17785232,0.31914884;0.10638298;0.23404258;0.2234043;0.11702129,0.21153845;0.15384617;0.21153845;0.26923075;0.15384617,0.38333336;0.1333333;0.20000003;0.1333333;0.15000002,0.0019569472
0.24000001;0.120000005;0.24000001;0.24000001;0.16,0.442953;0.11744971;0.114094004;0.14765099;0.1778523,0.31914887;0.10638299;0.23404257;0.22340429;0.117021285,0.1666667;0.1666667;0.1666667;0.33333322;0.1666667,0.38333336;0.13333331;0.20000003;0.13333331;0.15,0.0029354207
0.34482756;0.10344831;0.13793102;0.24137932;0.17241378,0.442953;0.11744969;0.114094004;0.14765102;0.1778523,0.1530612;0.13265312;0.21428572;0.3163265;0.18367347,0.1643836;0.09589041;0.17808218;0.38356158;0.17808218,0.24;0.08;0.24;0.3;0.14,0.0039138943
0.3448276;0.103448294;0.137931;0.24137932;0.1724138,0.44295296;0.1174497;0.11409399;0.14765102;0.17785232,0.1530612;0.13265313;0.2142857;0.31632653;0.18367346,0.06666667;0.13333328;0.33333334;0.20000002;0.26666668,0.23999998;0.08;0.23999998;0.30000004;0.14000002,0.0019569472
0.24000001;0.120000005;0.24000001;0.24000001;0.16,0.44295296;0.1174497;0.11409399;0.14765102;0.17785232,0.3191489;0.10638297;0.23404256;0.22340427;0.11702128,0.21153845;0.15384617;0.21153845;0.26923075;0.15384617,0.38333336;0.1333333;0.20000003;0.1333333;0.15000002,0
0.81621623;0.08108108;0.04864866;0.027027031;0.027027031,0.442953;0.1174497;0.114094;0.147651;0.17785232,0.8330404;0.08260106;0.04745167;0.024604566;0.01230229,0.74594593;0.12432431;0.043243244;0.06486488;0.021621622,0.83641976;0.055555556;0.07098766;0.027777778;0.009259257,0
0.81621623;0.08108107;0.04864866;0.027027033;0.027027033,0.44295296;0.1174497;0.114094;0.14765102;0.17785232,0.8330404;0.08260107;0.047451667;0.024604566;0.01230229,0.74594593;0.12432432;0.043243248;0.06486489;0.021621624,0.83641976;0.055555556;0.07098765;0.027777778;0.009259258,0.0029354207
0.3448276;0.10344832;0.137931;0.24137929;0.1724138,0.442953;0.11744971;0.114094004;0.147651;0.17785232,0.1530612;0.13265309;0.2142857;0.31632653;0.18367349,0.16438359;0.095890425;0.17808221;0.38356155;0.17808221,0.24000001;0.07999999;0.24000001;0.3;0.13999999,0
0.8646209;0.05956679;0.0433213;0.02527076;0.007220216,0.442953;0.11744969;0.114094;0.147651;0.1778523,0.8330404;0.08260108;0.04745167;0.024604572;0.012302291,0.74594593;0.124324314;0.043243248;0.06486488;0.021621624,0.83641976;0.05555556;0.07098765;0.02777778;0.0092592565,0.0029354207
0.21311477;0.09836065;0.21311477;0.26229507;0.21311477,0.442953;0.1174497;0.114094004;0.147651;0.17785232,0.1530612;0.13265312;0.21428572;0.31632647;0.18367349,0.16438362;0.09589042;0.1780822;0.38356158;0.1780822,0.24;0.08;0.24;0.3;0.14,0.0019569472
0.39393938;0.07575756;0.22727269;0.1515152;0.1515152,0.442953;0.11744969;0.114094;0.147651;0.1778523,0.31914887;0.10638298;0.23404257;0.22340429;0.117021285,0.21153846;0.15384617;0.21153846;0.26923072;0.15384617,0.38333336;0.13333331;0.20000002;0.13333331;0.15000002,0
0.8646209;0.05956678;0.043321297;0.025270754;0.0072202166,0.442953;0.11744969;0.114094;0.147651;0.17785232,0.8330404;0.08260106;0.04745167;0.024604568;0.01230229,0.74594593;0.124324314;0.043243244;0.064864874;0.021621622,0.83641976;0.055555556;0.070987664;0.027777778;0.009259259,0.0009784736
0.3970588;0.29411766;0.14705881;0.14705881;0.0147058815,0.44295296;0.1174497;0.11409401;0.147651;0.17785232,0.41999996;0.26000002;0.14999999;0.14000002;0.03,0.3584906;0.30188677;0.1320755;0.16981128;0.037735846,0.29166666;0.31249997;0.124999985;0.22916669;0.041666675,0.0039138943
0.21311477;0.09836065;0.21311477;0.26229507;0.21311477,0.442953;0.11744969;0.114094;0.147651;0.17785232,0.1530612;0.1326531;0.2142857;0.3163265;0.18367349,0.06666667;0.1333333;0.33333334;0.19999999;0.26666668,0.24;0.080000006;0.24;0.3;0.14,0.0009784736
0.39705884;0.2941177;0.1470588;0.1470588;0.01470588,0.442953;0.117449716;0.114094004;0.147651;0.1778523,0.42000002;0.26;0.14999999;0.14;0.030000005,0.3584906;0.30188677;0.1320755;0.16981131;0.037735846,0.29166666;0.3125;0.125;0.22916669;0.04166667,0.0039138943
0.21311477;0.098360635;0.21311477;0.26229507;0.21311477,0.442953;0.1174497;0.114094004;0.147651;0.17785232,0.15306121;0.1326531;0.2142857;0.3163265;0.1836735,0.1643836;0.09589041;0.17808221;0.38356155;0.17808221,0.23999998;0.080000006;0.23999998;0.30000004;0.14,0.0019569472
0.39393938;0.07575757;0.22727266;0.1515152;0.1515152,0.442953;0.11744971;0.114094004;0.14765099;0.17785232,0.3191489;0.106382996;0.23404257;0.22340426;0.117021285,0.21153845;0.15384617;0.21153845;0.26923072;0.15384617,0.38333338;0.1333333;0.20000002;0.1333333;0.15000002,0
0.8715847;0.03825137;0.035519127;0.04098361;0.013661199,0.43362835;0.10796461;0.113274306;0.17522125;0.1699115,0.91260505;0.028571432;0.02521008;0.028571432;0.0050420174,0.60294116;0.16176468;0.117647104;0.073529415;0.04411764,0.88222224;0.04;0.044444446;0.028888889;0.004444445,0
0.8715847;0.03825137;0.03551913;0.040983602;0.013661199,0.43362835;0.10796462;0.11327431;0.17522122;0.1699115,0.91260505;0.028571434;0.025210084;0.028571434;0.0050420174,0.6029412;0.16176467;0.11764708;0.07352939;0.044117644,0.8822222;0.04;0.044444457;0.028888894;0.0044444455,0.0009784736
0.4186046;0.3023256;0.09302327;0.1627907;0.02325581,0.43362838;0.1079646;0.11327429;0.17522122;0.16991149,0.2763158;0.3947369;0.1710526;0.14473681;0.013157891,0.25;0.25;0.125;0.25;0.125,0.31372553;0.35294113;0.19607842;0.117647104;0.01960784,0.0029354207
0.17741932;0.14516132;0.14516132;0.38709676;0.14516132,0.43362832;0.10796461;0.113274306;0.17522123;0.16991152,0.10112359;0.1235955;0.2359551;0.39325842;0.14606738,0.1190476;0.1428571;0.28571433;0.35714287;0.095238104,0.17241377;0.103448294;0.2241379;0.37931034;0.1206897,0.0078277886
0.08045977;0.04597701;0.068965524;0.1609195;0.6436782,0.442953;0.11744971;0.114094004;0.14765099;0.1778523,0.090909086;0.03896104;0.15584421;0.24675317;0.4675325,0.12962958;0.037037037;0.14814809;0.2592593;0.42592597,0.07812501;0.046875007;0.07812501;0.140625;0.65625,0
0.8646209;0.05956679;0.0433213;0.02527076;0.007220217,0.442953;0.11744969;0.114094;0.14765102;0.17785232,0.8330404;0.082601056;0.047451675;0.024604566;0.01230229,0.52941173;0.1764706;0.1764706;0.058823522;0.058823522,0.83641976;0.055555556;0.07098765;0.027777778;0.009259259,0.0019569472
0.39393938;0.075757556;0.22727264;0.1515152;0.1515152,0.44295296;0.11744969;0.114094;0.14765102;0.17785232,0.31914887;0.106382996;0.23404256;0.22340429;0.11702128,0.21153843;0.15384616;0.21153843;0.26923078;0.15384616,0.38333336;0.1333333;0.20000003;0.1333333;0.15000002,0.0078277886
0.08045977;0.045977004;0.068965524;0.1609195;0.6436782,0.442953;0.1174497;0.114094004;0.14765102;0.17785232,0.09090908;0.038961038;0.15584418;0.24675317;0.46753252,0.12962961;0.037037037;0.1481481;0.25925928;0.42592597,0.078125;0.046875;0.078125;0.140625;0.65625,0.0039138943
0.21311478;0.09836063;0.21311478;0.26229504;0.21311478,0.44295296;0.1174497;0.114094;0.14765102;0.17785232,0.1530612;0.13265309;0.2142857;0.31632653;0.18367347,0.1643836;0.09589041;0.1780822;0.38356158;0.1780822,0.23999998;0.07999999;0.23999998;0.30000004;0.14000002,0.0019569472
0.39393938;0.07575756;0.22727266;0.15151522;0.15151522,0.44295296;0.11744969;0.114094004;0.14765102;0.17785232,0.31914887;0.106382996;0.23404256;0.22340429;0.11702128,0.21153843;0.15384616;0.21153843;0.26923078;0.15384616,0.38333336;0.1333333;0.20000003;0.1333333;0.15000002,0.0039138943
0.21311478;0.09836063;0.21311478;0.26229504;0.21311478,0.442953;0.11744969;0.114094004;0.14765102;0.17785232,0.1530612;0.13265309;0.2142857;0.31632656;0.18367347,0.1643836;0.09589042;0.1780822;0.38356158;0.1780822,0.23999998;0.08;0.23999998;0.3;0.14000003,0.0078277886
