M_NDVI_w1,M_Dist_to_Border_w1,M_Dist_to_Stream_w1,M_Slope_Rainfall_w1,M_Stream_Density_w1,Malaria_w1
0.06976745,0.18875498,0.15454549,0.061728403,0.123076916,0.0009784736
0.018518522,0.38955826,0.4857143,0.32954547,0.15476188,0.0009784736
0.31481478,0.14457828,0.22142859,0.01136364,0.08333335,0
0.033980582,0.38955823,0.023407022,0.035533,0.008528786,0.0009784736
0.09259258,0.188755,0.4857143,0.4090909,0.1547619,0
0.7184466,0.188755,0.02340702,0.08121827,0.8742004,0.0009784736
0.018518522,0.14457828,0.021428568,0.30769226,0.4047619,0
0.067961164,0.13654621,0.014304289,0.081218265,0.008528786,0.0019569472
0.32558137,0.14056228,0.29090908,0.39506173,0.12307691,0
0.7184466,0.188755,0.840052,0.055837564,0.06396589,0.0019569472
0.11627911,0.188755,0.29090905,0.39506176,0.030769227,0.0019569472
0.23255807,0.3895582,0.15454552,0.0617284,0.3230769,0
0.05339807,0.14457828,0.08842653,0.17766498,0.8742004,0.0019569472
0.16000003,0.17785232,0.2234043,0.15384617,0.1333333,0.0019569472
0.16,0.114094004,0.10638299,0.1666667,0.20000003,0.0029354207
0.13793102,0.442953,0.21428572,0.1643836,0.24,0.0039138943
0.103448294,0.11409399,0.18367346,0.33333334,0.14000002,0.0019569472
0.24000001,0.1174497,0.23404256,0.15384617,0.1333333,0
0.04864866,0.147651,0.8330404,0.12432431,0.009259257,0
0.027027033,0.114094,0.024604566,0.06486489,0.009259258,0.0029354207
0.24137929,0.17785232,0.2142857,0.38356155,0.24000001,0
0.0433213,0.147651,0.04745167,0.021621624,0.02777778,0.0029354207
0.21311477,0.17785232,0.1530612,0.38356158,0.14,0.0019569472
0.1515152,0.114094,0.117021285,0.21153846,0.13333331,0
0.025270754,0.11744969,0.01230229,0.74594593,0.027777778,0.0009784736
0.14705881,0.44295296,0.03,0.30188677,0.124999985,0.0039138943
0.21311477,0.114094,0.1326531,0.1333333,0.3,0.0009784736
0.01470588,0.147651,0.26,0.30188677,0.22916669,0.0039138943
0.21311477,0.17785232,0.1326531,0.1643836,0.23999998,0.0019569472
0.1515152,0.442953,0.106382996,0.15384617,0.1333333,0
0.8715847,0.113274306,0.0050420174,0.073529415,0.044444446,0
0.03551913,0.43362835,0.028571434,0.16176467,0.04,0.0009784736
0.1627907,0.11327429,0.013157891,0.125,0.19607842,0.0029354207
0.14516132,0.113274306,0.1235955,0.1428571,0.2241379,0.0078277886
0.6436782,0.114094004,0.24675317,0.42592597,0.07812501,0
0.0433213,0.114094,0.024604566,0.1764706,0.009259259,0.0019569472
0.1515152,0.14765102,0.106382996,0.15384616,0.1333333,0.0078277886
0.045977004,0.14765102,0.15584418,0.12962961,0.078125,0.0039138943
0.21311478,0.17785232,0.31632653,0.1643836,0.30000004,0.0019569472
0.22727266,0.14765102,0.22340429,0.26923078,0.20000003,0.0039138943
0.09836063,0.17785232,0.13265309,0.1780822,0.08,0.0078277886
0.08045977,0.17785232,0.1558442,0.25925928,0.046875004,0.0019569472
0.22727264,0.17785232,0.11702128,0.21153845,0.15000004,0.0127201566
0.6153846,0.10796459,0.1346154,0.080000006,0.625,0.0205479452
0.07692308,0.16991153,0.1153846,0.080000006,0.07142857,0.0088062622
0.03846154,0.10796459,0.38461536,0.120000005,0.089285724,0.0058708415
0.15384622,0.1699115,0.1153846,0.080000006,0.05357143,0.0039138943
0.1333333,0.10796459,0.1235955,0.28571433,0.17241378,0
0.038095243,0.17522125,0.02521008,0.6029412,0.02888889,0.0088062622
0.07692309,0.10796461,0.38461542,0.080000006,0.07142857,0.0009615385
0.42857137,0.17522122,0.2763158,0.23076923,0.019607838,0.0019230769
0.11111109,0.17522123,0.30769226,0.25000003,0.2040816,0.0057692308
0.11538459,0.43362832,0.13461539,0.08000001,0.16071428,0
0.81621623,0.17785233,0.8330404,0.021621624,0.07098765,0.0019230769
0.24000001,0.44295296,0.106383,0.15384617,0.15000002,0.0028846154
0.34482756,0.17785232,0.1326531,0.3835616,0.14,0
0.04864866,0.147651,0.08260107,0.064864874,0.027777776,0.0019230769
0.1666667,0.18875499,0.05454545,0.22222224,0.3230769,0.0009615385
0.010989009,0.1365462,0.22142862,0.3295455,0.15476188,0
0.025906743,0.13654621,0.023407022,0.6497461,0.008528786,0.0028846154
0.15384622,0.14457828,0.37500003,0.46478865,0.17857143,0.0009615385
0.0109890085,0.1445783,0.48571426,0.01136364,0.40476194,0
0.074265994,0.3895582,0.840052,0.055837553,0.008528787,0
0.008635579,0.188755,0.840052,0.17766497,0.8742004,0.0009615385
0.1538462,0.1445783,0.22142859,0.15909092,0.33333334,0
0.01899827,0.188755,0.08842653,0.08121827,0.06396588,0.0019230769
0.3333333,0.3895582,0.17272729,0.22222221,0.32307693,0.0019230769
0.04545455,0.188755,0.1727273,0.061728407,0.2307692,0.0038461538
0.1538462,0.13654618,0.17307691,0.1830986,0.17857142,0.0019230769
0.21212122,0.1365462,0.1727273,0.22222222,0.23076923,0.0009615385
0.1627907,0.43362835,0.01315789,0.43589744,0.3137255,0.0028846154
0.14516129,0.1699115,0.123595506,0.14285709,0.120689705,0.0105769231
0.023255808,0.10796461,0.3846154,0.3333333,0.05357143,0.0038461538
0.1451613,0.43362832,0.12359551,0.11904758,0.3793103,0.0019230769
0.060606055,0.14395893,0.14117649,0.5,0.06382977,0
0.055825245,0.37018004,0.008995502,0.14705877,0.044289045,0.0028846154
0.18181822,0.14910002,0.2638889,0.1875,0.14705883,0.0009615385
0.40350878,0.14910004,0.4125,0.31818178,0.19512196,0.0009615385
0.22807017,0.14395894,0.20000002,0.090909086,0.3414634,0.0009615385
0.052631576,0.20565554,0.2,0.31818178,0.17073171,0.0038461538
0.1272727,0.14395893,0.15277778,0.42857152,0.32352942,0.0009615385
0.052631576,0.14395894,0.225,0.09090908,0.0487805,0
0.05582524,0.37018007,0.04197902,0.1794872,0.044289052,0
0.03551913,0.1132743,0.028571432,0.04411764,0.04444445,0.0009615385
0.09302326,0.43362832,0.14473677,0.43589744,0.11764709,0.0009615385
0.41860464,0.10796461,0.013157891,0.4358974,0.1176471,0
0.040983606,0.17522123,0.02857143,0.1,0.0044444455,0.0019230769
0.1081081,0.1699115,0.30769226,0.1875,0.38775507,0.0009615385
0.1470588,0.17785233,0.26,0.2142857,0.04166667,0.0009615385
0.39705878,0.17785232,0.03,0.1320755,0.124999985,0.0019230769
0.15151522,0.44295296,0.31914887,0.21153845,0.20000002,0
0.025270762,0.17785232,0.024604568,0.74594593,0.055555556,0
0.02527076,0.17785232,0.012302291,0.124324314,0.027777778,0.0009615385
0.14705883,0.114094,0.029999997,0.16981132,0.22916669,0.0038461538
0.21311477,0.17785232,0.31632653,0.1780822,0.3,0.0067307692
0.6436782,0.147651,0.03896104,0.42592594,0.078125,0.0038461538
0.1,0.14395893,0.20833327,0.1875,0.14705883,0.0028846154
0.2,0.14910002,0.20833327,0.1875,0.14705883,0.0105769231
0.111111104,0.13110542,0.037037037,0.3571429,0.090909086,0.0105769231
0.21311478,0.11409399,0.1530612,0.1428571,0.13698629,0
0.02527076,0.14765102,0.02460457,0.77477473,0.8232446,0.001601281
0.1515152,0.17785233,0.11702128,0.09803921,0.1129032,0
0.8646209,0.114094004,0.024604568,0.02702703,0.031477,0
0.025906736,0.14056231,0.01430429,0.02710843,0.01717557,0.003202562
0.18461537,0.1365462,0.17307693,0.1034483,0.4086021,0.001601281
0.045454558,0.14457828,0.29090908,0.22222221,0.23376621,0.0024019215
0.2424242,0.18875502,0.15454549,0.27499998,0.18181819,0
0.02702703,0.442953,0.047451675,0.7747748,0.08232445,0.0064051241
0.09375001,0.442953,0.090909086,0.058823526,0.13043478,0.0080064051
0.09375,0.114094004,0.03896104,0.09803921,0.02898551,0.0008006405
0.19354838,0.147651,0.14000002,0.39534882,0.1666667,0.001601281
0.24000001,0.11744969,0.1170213,0.1372549,0.3064516,0.0112089672
0.15384619,0.17522122,0.38461536,0.09615385,0.026315784,0.0160128102
0.11538461,0.1699115,0.1346154,0.22222222,0.10526317,0.0168134508
0.038461536,0.10796461,0.32692313,0.6153845,0.28947368,0.0096076861
0.115384616,0.11327433,0.1346154,0.055555545,0.44736832,0.0048038431
